Customer ID,Age,Gender,Region,Purchase Frequency,Average Order Value,Product Category,Customer Feedback,Sentiment Score,Loyalty Program Level
245a37a9-6f0d-429b-9a42-3591bb685627,21,Female,Asia,37,240.32,Confectionery,Bill beat provide Democrat defense material program blue if professor strong tonight.,1.3,Gold
d32f9070-0da0-48b4-9799-3ce4e81cf6a4,34,Female,Europe,25,471.28,Prepared Foods,Fill war employee strong face chance star sound remain moment.,2.5,Bronze
9fe97c2f-3446-4c47-a165-862670f49358,32,Male,Asia,21,303.37,Prepared Foods,Hair system indeed consumer military school realize as production whom.,4.7,Gold
26a487aa-f85d-43ca-afd1-bfe80c93454c,45,Female,Europe,44,432.21,Pet Care,Just level likely quality respond natural director risk.,3.7,Bronze
c4e794af-123e-4bd3-8f7d-aa598e926b0e,47,Male,North America,48,389.57,Pet Care,Peace act have coach former end onto store actually.,2.3,Gold
d39cb3d0-427e-4539-bb50-8e960cd59af0,34,Male,North America,50,471.84,Beverages,Son front realize since quite heart house spend standard human.,2.5,Bronze
7623dbc2-d2b4-4c5b-a697-337028ad34be,53,Female,North America,15,319.88,Beverages,All five senior religious he cell resource single weight buy.,2.6,Gold
6ad06a44-e336-44dd-8705-ed371e1bace7,26,Male,Africa,17,380.44,Confectionery,Standard so leave machine quickly south.,4.7,Bronze
1d04a676-7167-434e-ad12-4934e2730c4c,37,Male,North America,20,97.93,Beverages,Oil main attention success drug child traditional make open night serve during.,3.6,Silver
5195f7e7-972e-467e-aef1-1a88c2eb92ef,69,Female,South America,45,270.29,Pet Care,Why garden research door arm good record determine nice.,2.4,Bronze
aea8903e-7d2a-4799-b556-f319c450141b,42,Male,Africa,47,26.93,Confectionery,Tell down true enter movement lay force sound have appear clear fight glass foot.,2.3,Gold
2ed36c44-d089-46ee-861c-a8de95b2fc53,27,Male,North America,46,169.02,Pet Care,Professional trade specific serious instead your.,4.0,Bronze
93818753-9f56-4d35-a15e-919f2e9b4dfa,55,Male,North America,48,166.04,Dairy Products,Professor read perhaps to clearly fast choose.,4.0,Platinum
b5944d43-0cf2-4d9f-89e6-dee6963adbaa,59,Female,South America,30,91.33,Beverages,Institution walk even beautiful table reality all.,4.3,Platinum
e79dfb5a-1dcd-45ed-8639-8f4d758790e8,40,Male,South America,48,323.19,Prepared Foods,Water attorney add difference pass child rest modern each center.,3.5,Bronze
68c61333-f1c6-4f9e-8eb1-ad00a013ef22,69,Female,Africa,13,173.21,Beverages,Spend describe defense partner feel edge.,2.1,Gold
ca2f2fac-9167-4e29-bee1-0ac870e2bbfc,44,Male,Europe,42,416.31,Prepared Foods,Force ask just see soon reach.,4.9,Silver
74986442-c66e-46ee-876b-005c00a05745,44,Male,Asia,18,235.26,Pet Care,Research network argue ball because improve sure us late catch money.,1.5,Silver
04f5dd41-bacf-470e-a30c-ad6a1d03aff4,70,Female,North America,45,468.78,Pet Care,Quickly occur project see lawyer write any task situation staff own.,4.7,Platinum
0a57b469-8761-4b5e-93a2-6d2cc821052e,55,Female,Asia,50,45.19,Pet Care,Per realize people federal decide new mind only newspaper account south.,2.5,Gold
71349bf9-af3d-4039-87af-97fd5108230f,25,Female,Europe,41,451.12,Prepared Foods,Front person program first much natural me the unit trade western believe yet.,2.8,Bronze
d409e31b-2c28-4368-95a4-acfac5afa440,49,Female,South America,15,76.29,Pet Care,Stuff drop by learn fish member different market that reach recognize.,1.8,Platinum
bc44fd0d-eaeb-40db-b6dd-b95b8c92d163,62,Male,Europe,5,488.03,Confectionery,Window worry other sea fight health suffer.,2.8,Silver
cec3dffc-9977-48a0-bdea-0290d19f39b7,25,Male,Africa,14,227.87,Prepared Foods,Plan national collection bar ago describe husband save.,1.5,Gold
f43f08c1-b1be-48c9-8d03-5ff53d70f0e1,29,Female,South America,25,452.71,Confectionery,Quality outside to thousand owner industry series partner seat everything finish policy north.,2.9,Silver
439ff482-edf3-4d35-935e-506a3cc3a1cb,42,Male,Asia,8,182.57,Pet Care,Option hear check peace cut bag north gas.,3.8,Silver
80386b49-27ef-45ae-b300-ea0a07fcd7ba,27,Female,North America,25,242.98,Dairy Products,Music recognize school fact throughout bring customer necessary story.,3.5,Gold
23d7c270-241a-4760-b8ad-f739e387f026,60,Male,Europe,30,429.99,Pet Care,Account speech view become front each account general near seek.,3.9,Gold
fa2ed215-c807-4a6f-9152-55fbf07bf026,23,Male,Africa,33,494.27,Dairy Products,Even go fact same newspaper too guess no here simple.,1.7,Gold
f81b770b-eeda-4f74-87f2-a245321078d2,36,Male,Europe,35,403.05,Beverages,Interview financial economy charge call evening at charge could relate body serve.,1.7,Bronze
9a563020-ffe3-4aa9-bf2c-17f2be314972,68,Female,South America,10,124.92,Prepared Foods,Lawyer company call prove factor five bar three child require.,2.3,Platinum
7f674018-d02e-485e-b811-4367115f402c,61,Male,North America,7,449.9,Confectionery,Space opportunity no board final simple maintain last picture six.,1.5,Bronze
51413dab-dd73-407c-86ce-807f19a8c6e3,26,Male,South America,11,86.67,Confectionery,Fly add read style east role goal address sing place city reason compare.,2.3,Gold
b3818735-3776-4420-a705-09f04f938b7d,24,Female,South America,9,295.35,Pet Care,Admit citizen team chair with then.,1.4,Bronze
e251410d-fea6-4ea9-9b92-6474d76d022e,35,Male,Africa,29,104.26,Confectionery,Ago human opportunity first improve money even recently me listen again special make.,3.5,Gold
1b14b573-b974-4374-9053-94de2a954b64,20,Female,North America,28,226.52,Confectionery,Past wrong send cost still involve since.,1.3,Silver
8b787fe8-2ff1-4825-8adc-38e3c5e81a8b,26,Female,Asia,50,476.7,Pet Care,Finally common sea watch remain throw fast paper quite building enter any job.,4.0,Silver
5774d2e0-7305-4a6e-9d69-49fcacaf51e6,61,Male,Africa,19,386.27,Confectionery,Defense sport cut just executive rule want military cultural over the sort.,3.4,Bronze
27e50d10-f16c-427b-a584-000953c5404f,28,Female,North America,38,346.23,Prepared Foods,Small avoid charge born successful strong leg establish process discussion current itself decade.,3.1,Silver
6ee4eaed-fda2-4cdf-9fa6-f9f5cdc9b84a,19,Male,Africa,30,34.62,Pet Care,Design painting financial military design nation near organization instead bag deal ask.,3.7,Bronze
59e42b23-be30-43b0-9841-5b0f72d7e093,69,Female,Africa,9,158.76,Pet Care,Character would politics suffer entire often accept great surface should.,2.2,Gold
14ccffea-83de-4652-8a3f-514ac6b668eb,48,Male,North America,46,154.08,Prepared Foods,Often writer seem government culture project situation word once.,4.9,Platinum
fe48bf73-9ad1-414c-95c0-262a47c7f50b,60,Male,South America,12,422.92,Prepared Foods,Mr prove including white tell assume place.,4.2,Gold
ca771ea5-eebc-4862-8d23-1cb2e24bb3ab,36,Male,North America,43,184.37,Pet Care,Magazine paper mind something how community rather more perform.,3.7,Gold
ab50f189-9227-4fb4-b728-0d29d1516c22,26,Male,Africa,20,161.48,Prepared Foods,Little too trip record gas go test early student different statement.,2.2,Platinum
bd098bce-02cb-43e5-a5ae-ffcac6f3b583,47,Male,Asia,44,389.2,Dairy Products,From guy several grow work and more heart thank sport require PM sing.,2.1,Bronze
394e660b-09ba-4abd-964d-95318280c9f1,54,Female,Asia,11,196.08,Confectionery,Court contain task little draw under garden this world.,2.1,Bronze
ff0d591b-47d8-418a-b13f-e14ac24bc0f8,54,Female,North America,20,259.91,Pet Care,Room key compare reason decade sister around range.,3.1,Bronze
95c7635a-45d7-4e57-8818-418388271b7f,53,Male,Africa,37,265.91,Pet Care,Add skin provide yeah section phone so easy.,4.0,Gold
91816262-bf4e-45ec-af4b-8e9e97501e5c,56,Male,South America,26,153.98,Pet Care,Sense whose eight TV choose create worker business style must economy paper.,4.6,Silver
189f8557-c8db-4750-9725-4c59b978dec6,67,Male,South America,7,137.28,Dairy Products,Itself agreement hand example subject paper story evening defense lawyer.,3.2,Platinum
8eebcb8f-9691-40a8-bab7-de279365edf0,70,Female,North America,32,122.23,Confectionery,Often billion send product on mother experience course throw maintain fall director food.,3.1,Gold
ddce3005-eabc-4964-a23f-60c1885d8edb,46,Male,Africa,8,282.99,Prepared Foods,Strong today under want able easy itself voice white.,2.5,Gold
86cc402a-c2a2-4edc-a5bf-fd22d15911e2,57,Female,North America,43,144.24,Beverages,Government let glass present kid build test guy radio himself catch reduce.,4.7,Gold
7da3706d-59c8-42bb-a138-b4249299b40c,70,Male,Europe,17,482.06,Beverages,Play break world example into represent lawyer after bank indicate.,4.3,Platinum
058d3972-db45-42ce-b2db-57bc747f423b,21,Male,Asia,41,394.22,Confectionery,Chair shake husband product character fund which unit several over.,4.4,Platinum
