Date,Region,Revenue,Cost,Budget,Actuals,Expense Category,Expense Amount,Cash Inflow,Cash Outflow,Forecasted Revenue,Forecasted Cost,Profit Margin,Cash Flow,Year,Month
2022-07-15,South Jennifermouth,333545.65,116997.53,250798.02,298932.11,Rent,2012.22,180636.94,139152.38,285937.98,181676.75,64.92308324212893,41484.56,2022,7
2024-01-26,North Mariachester,389487.41,253803.01,398448.59,229408.61,Rent,839.79,154534.08,54727.94,333032.93,286177.67,34.83665877672399,99806.13999999998,2024,1
2023-05-29,Lake Sarah,130413.95,280817.78,106333.57,176056.5,Sales,9928.12,134658.58,37538.75,308512.3,272181.72,-115.32802280737606,97119.82999999999,2023,5
2022-07-06,Lake Heatherton,349373.81,185819.08,84333.24,403413.21,Rent,8922.75,18922.34,31177.13,315269.71,187551.85,46.81367787699943,-12254.79,2022,7
2022-10-29,New Nicoleberg,98879.07,183105.98,493667.58,343301.41,Maintenance,6261.47,34946.35,85744.51,351227.47,251913.88,-85.181737651861,-50798.159999999996,2022,10
2023-12-05,New Pennyside,371074.36,110379.38,165049.05,107364.21,Sales,3463.13,144970.61,143654.78,206051.77,267735.33,70.25410755946598,1315.8299999999872,2023,12
2022-08-22,Rodgersport,435820.0,221364.14,240169.53,280412.04,Miscellaneous,2345.59,135011.85,145847.97,180555.16,13293.67,49.207438850901745,-10836.119999999995,2022,8
2024-03-29,Tiffanyland,227218.04,197432.11,304820.44,362377.31,Sales,1014.9,159184.75,14306.66,161553.4,153314.69,13.10896353124075,144878.09,2024,3
2023-10-15,East Frank,450136.08,144254.76,290228.85,462959.59,Rent,3956.23,12989.19,62129.2,489563.79,250789.24,67.95307765598349,-49140.009999999995,2023,10
2024-05-10,Port Rebecca,101261.29,206128.75,363353.75,265397.01,Maintenance,8571.05,101767.8,59112.46,359752.9,107193.64,-103.56125228110369,42655.340000000004,2024,5
2023-05-26,South Christinachester,71297.31,33960.89,49802.72,454175.8,Maintenance,5305.35,172799.65,104609.9,226637.93,108989.67,52.36722114761413,68189.75,2023,5
2023-05-12,Lake Bethanymouth,483155.4,191826.87,432575.67,321937.34,Rent,2227.01,39398.07,65142.14,392007.83,239227.88,60.297065912954714,-25744.07,2023,5
2024-01-02,East Marvinport,163687.3,44926.94,14143.46,413382.9,Utilities,8454.45,192253.1,17246.19,445174.72,121102.63,72.55319135937852,175006.91,2024,1
2023-06-26,Lake Jason,464686.26,265741.55,244598.1,10086.94,Research and Development,748.65,141035.8,118656.47,196997.17,22273.4,42.8126947416091,22379.329999999987,2023,6
2023-12-26,Avilafort,70233.72,262449.39,279863.73,250447.56,Miscellaneous,7672.53,33135.06,87561.75,451575.73,256394.52,-273.6800357435146,-54426.69,2023,12
2024-05-22,New Allisonshire,275068.97,21721.84,342642.67,144495.2,Miscellaneous,8282.27,158528.28,52327.68,88405.85,295760.86,92.10312962599889,106200.6,2024,5
2023-09-04,East Katherine,53525.68,238157.51,62123.28,314889.06,Utilities,8929.35,160751.5,94789.89,499585.83,41494.22,-344.9406527857283,65961.61,2023,9
2022-07-27,Port Susan,116952.49,290062.04,217937.67,394826.85,Marketing,8986.29,28092.74,91174.67,155154.16,270131.05,-148.0169853587555,-63081.92999999999,2022,7
2023-12-14,Rothstad,183545.57,143545.68,430689.36,449536.98,Marketing,1743.06,11758.02,113066.84,334656.34,61931.63,21.792893176337632,-101308.81999999999,2023,12
2023-03-27,Kathyside,234347.43,71999.14,491234.52,15876.03,Sales,2515.17,142877.75,26110.64,110664.03,228651.9,69.27675289633002,116767.11,2023,3
