Date,Campaign,Channel,Reach,Engagement,Conversions,Marketing Spend,Revenue Generated,Customer Acquisition Cost,Lifetime Value,ROI,Year,Month
2023-10-05,Campaign C,PPC,52987,6524,1573,40585.2,63115.82,288.66,7332.33,55.514374698165845,2023,10
2024-01-17,Campaign B,Email,31567,3515,1283,7651.03,5796.38,251.63,7630.12,-24.24052709243069,2024,1
2023-08-23,Campaign B,Email,18894,4493,683,33532.78,78730.97,495.81,4754.19,134.78807900806316,2023,8
2024-04-14,Campaign A,Email,49993,615,273,48477.24,37915.89,232.38,1550.65,-21.786203174933224,2024,4
2023-07-18,Campaign B,Email,80788,926,150,10755.79,46609.66,131.6,6309.26,333.34483101659663,2023,7
2023-11-12,Campaign A,PPC,33587,178,431,34876.77,44285.6,476.01,2290.44,26.977354841058972,2023,11
2023-10-01,Campaign C,Social Media,9002,9300,556,19849.78,26026.78,204.95,2217.93,31.118732802076398,2023,10
2024-03-02,Campaign B,Organic Search,97237,383,602,34386.96,40083.27,122.82,2094.63,16.565320109716,2024,3
2023-11-03,Campaign C,Email,96804,1435,1635,5850.96,92006.23,417.52,3771.74,1472.4980174193634,2023,11
2023-11-02,Campaign A,Email,78747,1922,1692,10821.61,52323.78,171.21,2655.86,383.51197280256815,2023,11
2023-11-22,Campaign D,PPC,4164,7753,411,40748.71,31995.05,384.33,4338.9,-21.482054278528082,2023,11
2023-09-01,Campaign D,Social Media,94991,2588,836,35917.12,8938.35,362.23,1975.98,-75.11395679831791,2023,9
2023-06-11,Campaign C,Email,28524,975,1551,36060.95,58964.07,427.16,6233.54,63.512248013432824,2023,6
2024-03-05,Campaign B,PPC,48268,4435,1937,21694.9,75112.39,499.03,8848.87,246.22141609318317,2024,3
2024-03-14,Campaign C,Email,76169,9770,1604,49121.77,12520.85,130.33,4328.35,-74.51058868603472,2024,3
2023-08-26,Campaign A,Email,1917,5541,15,11559.97,91952.42,114.83,1087.87,695.4382234555972,2023,8
2023-06-12,Campaign D,PPC,61649,3909,865,8764.94,24133.55,483.24,4598.74,175.3418734184147,2023,6
2024-03-15,Campaign A,Organic Search,29945,5262,907,12386.32,44980.69,306.95,9773.01,263.1481343934276,2024,3
2024-03-14,Campaign A,Organic Search,33468,4650,1004,10051.02,58120.92,281.07,3400.45,478.25892297498154,2024,3
2023-09-18,Campaign C,Email,22600,3908,479,12189.76,63645.88,423.61,1827.34,422.1257842648255,2023,9
2023-08-04,Campaign A,Social Media,49004,7278,165,45681.52,9038.86,284.72,2654.41,-80.21331164111876,2023,8
2023-09-25,Campaign B,Email,91273,374,716,20842.15,75393.24,376.47,7783.15,261.73446597399976,2023,9
2024-02-23,Campaign C,Email,15701,6645,1662,30850.26,36314.88,421.03,5615.22,17.71336773174683,2024,2
2024-02-13,Campaign A,Email,48602,5905,955,3086.46,75260.55,197.3,9840.48,2338.410023133298,2024,2
2024-04-20,Campaign B,Organic Search,39709,5695,740,2071.9,79904.72,166.02,6789.82,3756.5915343404604,2024,4
2023-08-05,Campaign B,PPC,23078,7060,688,18401.31,7852.22,72.3,5406.78,-57.327929370245926,2023,8
2023-12-21,Campaign A,Social Media,61668,6954,441,37799.02,59218.76,458.48,3032.22,56.667447992037914,2023,12
2023-08-24,Campaign B,Organic Search,36165,8744,1227,32834.87,42114.31,375.29,1998.8,28.260931138146717,2023,8
2023-09-26,Campaign D,Organic Search,31385,1228,1299,7611.61,14103.31,188.37,9843.28,85.2868184260623,2023,9
2023-07-22,Campaign D,Organic Search,56780,6298,1678,23261.82,58045.96,189.06,8986.12,149.53318356001378,2023,7
2023-11-08,Campaign D,Organic Search,18260,7945,843,36949.22,68738.92,315.19,8893.97,86.03618696145682,2023,11
2023-11-01,Campaign D,Organic Search,91163,2961,1728,46521.45,76320.91,125.01,6462.84,64.0553121194632,2023,11
2023-11-13,Campaign A,Email,57910,6408,247,1613.48,77379.91,239.46,9838.05,4695.8394278206115,2023,11
2024-03-08,Campaign A,Social Media,23466,4313,1127,7918.81,56009.36,168.0,8499.16,607.2951617730441,2024,3
2024-01-22,Campaign D,Social Media,94800,2798,995,11615.92,47596.09,416.41,4159.83,309.74877581801525,2024,1
2023-07-01,Campaign D,Email,63696,8411,1752,42286.13,99039.13,472.54,7194.94,134.2118562280351,2023,7
2023-12-11,Campaign C,Email,70491,474,237,24880.82,83458.59,250.21,7962.8,235.43343828700182,2023,12
2023-08-29,Campaign A,Organic Search,69927,6699,1432,46605.72,68848.31,354.33,1391.56,47.72502173552945,2023,8
2023-06-06,Campaign B,Social Media,28502,569,1143,32366.33,80065.85,198.74,7528.67,147.37389132471924,2023,6
2024-02-21,Campaign D,Social Media,8150,4344,449,7416.81,18102.41,348.64,4799.28,144.07272129122896,2024,2
2023-09-28,Campaign B,Social Media,35374,1656,1185,35540.6,8739.96,293.34,959.83,-75.40851870818163,2023,9
2023-12-19,Campaign D,PPC,90381,105,1834,31581.47,29187.3,221.87,8856.57,-7.58093274315604,2023,12
2024-02-07,Campaign A,Organic Search,18177,9594,1537,26870.84,52739.21,46.91,3253.71,96.2693015923581,2024,2
2024-04-01,Campaign B,Email,42526,6603,517,46192.5,84950.76,410.19,2357.03,83.90595875953888,2024,4
2023-07-01,Campaign C,Email,23913,8951,227,15301.08,97565.49,355.38,6470.56,537.6379314401337,2023,7
2024-02-14,Campaign C,PPC,64989,7212,1717,43422.38,22250.09,349.2,4540.49,-48.75893490868073,2024,2
2024-02-08,Campaign B,Organic Search,50902,661,1135,35364.18,44141.0,335.07,3586.88,24.818389681310297,2024,2
2024-05-05,Campaign A,Organic Search,89947,8232,1181,17790.34,50021.53,436.39,3126.37,181.1724227867483,2024,5
2023-08-19,Campaign D,Organic Search,94006,5781,454,5592.43,49970.82,290.23,4392.51,793.5439513771294,2023,8
2023-09-10,Campaign B,Social Media,58596,9731,1316,39285.93,27782.29,449.93,7705.74,-29.28183194339551,2023,9
2024-04-04,Campaign D,Organic Search,41761,4471,1043,38057.46,94499.92,309.12,3999.15,148.30853136283923,2024,4
2023-08-19,Campaign D,Organic Search,75929,8982,1808,31415.73,37847.91,365.48,5451.23,20.474392923545,2023,8
2024-03-30,Campaign C,PPC,60600,7615,642,6582.11,38823.29,197.19,7765.37,489.83046469900995,2024,3
2023-07-15,Campaign B,Email,28087,3999,1866,14221.87,38560.41,326.53,6397.81,171.13459763026944,2023,7
2023-10-07,Campaign B,Email,25066,6571,490,20289.01,30703.04,116.8,6169.09,51.32842854333456,2023,10
2024-01-17,Campaign A,PPC,94738,3463,400,2060.54,77223.05,224.81,5260.6,3647.709338328788,2024,1
2024-04-26,Campaign B,Social Media,96295,9798,1131,30090.54,98503.48,22.8,6529.78,227.35696999787973,2024,4
2024-03-01,Campaign C,PPC,20395,7707,721,27548.87,93573.73,331.72,355.48,239.66449440575968,2024,3
2023-07-04,Campaign C,Organic Search,47329,1959,229,37633.53,42594.38,465.85,8211.26,13.181994885943462,2023,7
2024-02-18,Campaign A,Social Media,18617,6434,1883,21371.68,5923.08,301.82,2167.88,-72.28537953029429,2024,2
2024-03-19,Campaign D,Social Media,17115,9552,1329,16737.38,89818.8,193.33,7646.26,436.63596094490293,2024,3
2023-07-19,Campaign D,PPC,3545,8560,1633,16823.62,58839.18,421.08,9530.08,249.74149439894626,2023,7
2024-02-08,Campaign B,Organic Search,49067,1981,591,31732.7,57978.21,404.3,4983.14,82.70808976229567,2024,2
2024-04-20,Campaign C,Organic Search,59127,8741,1610,17476.52,48061.17,445.05,8000.88,175.00423425258575,2024,4
2023-06-23,Campaign B,Organic Search,44021,4406,1168,41650.09,89775.88,36.34,6376.08,115.54786556283554,2023,6
2024-04-05,Campaign A,Social Media,13609,1721,246,27182.04,6804.68,455.89,6390.88,-74.96626448934664,2024,4
2024-01-15,Campaign C,Email,20574,7501,1727,47818.42,76097.85,84.82,733.85,59.13919782376751,2024,1
2024-03-05,Campaign C,PPC,23278,8657,487,16344.82,14885.75,45.54,6078.74,-8.926803721301303,2024,3
2023-12-28,Campaign D,PPC,7801,5300,1349,47096.07,88847.29,157.2,3063.22,88.65117620217566,2023,12
2023-07-03,Campaign B,Email,95585,4005,1693,1530.53,53005.31,224.72,4644.56,3363.1996759292533,2023,7
2024-05-23,Campaign B,PPC,6242,3510,1303,39139.46,34462.69,312.06,2603.65,-11.94898958749047,2024,5
2024-01-22,Campaign C,PPC,14532,2825,348,11459.07,73669.34,217.11,4799.03,542.8910897655744,2024,1
2023-11-15,Campaign D,Organic Search,68160,2831,1594,3513.64,44756.32,327.35,7286.7,1173.7878667137215,2023,11
2023-07-15,Campaign C,PPC,63716,8066,363,4766.87,91471.96,440.49,9872.23,1818.910312217451,2023,7
2024-01-03,Campaign C,Email,42225,5291,992,36630.78,91925.83,417.19,1147.23,150.9524230715262,2024,1
2023-07-31,Campaign D,Social Media,75029,2916,793,43122.89,7322.42,446.66,3967.69,-83.01964455536259,2023,7
2023-11-24,Campaign A,Email,23296,9559,1098,47279.67,83792.04,82.97,6762.94,77.22636388959567,2023,11
2023-10-21,Campaign D,Social Media,9326,5900,888,10397.91,96156.29,131.47,7844.61,824.7655538468788,2023,10
2023-07-01,Campaign B,PPC,85589,7984,1036,26816.17,84142.72,200.78,6896.42,213.77605377650877,2023,7
2024-02-16,Campaign D,PPC,29808,9220,1787,26626.32,78157.14,38.75,349.2,193.5333910206142,2024,2
2023-11-25,Campaign D,Social Media,13943,523,1224,1325.7,67886.95,25.19,9289.62,5020.838047823791,2023,11
2024-01-16,Campaign D,Organic Search,89397,6041,216,10001.15,33567.28,254.69,4734.16,235.6342020667623,2024,1
2023-06-05,Campaign B,Organic Search,9873,3297,324,33865.88,11563.29,169.75,7823.92,-65.85563404819246,2023,6
2023-06-06,Campaign D,PPC,95620,7087,156,23233.73,53340.12,222.58,2234.06,129.58052796516102,2023,6
